,Unnamed: 0,User,Text,Date,Favorites,Retweets,Mentions,HashTags,docs,streets,highways,exits,markers,road_closed
616,10641,TotalTrafficBTR,"Accident, left lane blocked in #EastBatonRougeParish on I 10 EB at Perkins Rd/Exit 157A #traffic http://bit.ly/12oyfoo",2020-08-28 20:35:43+00:00,0,0,,#EastBatonRougeParish #traffic,"accident, left lane blocked in #eastbatonrougeparish on i 10 eb at perkins rd/exit 157a #traffic http://bit.ly/12oyfoo",['perkins rd'],[],[],[],1.0
619,10653,TotalTrafficHOU,Accident. right shoulder blocked in #Harris on I-10 Katy Hov Outbound at Campbell #traffic http://bit.ly/17hsIjn,2020-08-28 20:00:43+00:00,0,0,,#Harris #traffic,accident. right shoulder blocked in #harris on i-10 katy hov outbound at campbell #traffic http://bit.ly/17hsijn,[],['i-10'],[],[],1.0
620,10656,TotalTrafficBTR,Accident cleared in #Iberville on I 10 EB at LA-77/Rosedale/Grosse Tete/Exit 139 #traffic http://bit.ly/12oyfoo,2020-08-28 19:55:43+00:00,0,0,,#Iberville #traffic,accident cleared in #iberville on i 10 eb at la-77/rosedale/grosse tete/exit 139 #traffic http://bit.ly/12oyfoo,[],[],['exit 139'],[],1.0
622,10658,TotalTrafficBTR,"Accident, left lane blocked in #Iberville on I 10 EB at LA-77/Rosedale/Grosse Tete/Exit 139 #traffic http://bit.ly/12oyfoo",2020-08-28 19:30:43+00:00,0,0,,#Iberville #traffic,"accident, left lane blocked in #iberville on i 10 eb at la-77/rosedale/grosse tete/exit 139 #traffic http://bit.ly/12oyfoo",[],[],['exit 139'],[],1.0
623,10661,TotalTrafficBTR,Accident cleared in #EastBatonRougeParish on I 10 WB at College Dr/Exit 158 #traffic http://bit.ly/12oyfoo,2020-08-28 19:10:43+00:00,0,0,,#EastBatonRougeParish #traffic,accident cleared in #eastbatonrougeparish on i 10 wb at college dr/exit 158 #traffic http://bit.ly/12oyfoo,[],[],['exit 158'],[],1.0
624,10664,TotalTrafficHOU,Accident on exit ramp in #EastSide on I-10 Baytown Inbound at The E Lp #traffic http://bit.ly/17hsIjn,2020-08-28 18:55:43+00:00,0,0,,#EastSide #traffic,accident on exit ramp in #eastside on i-10 baytown inbound at the e lp #traffic http://bit.ly/17hsijn,[],['i-10'],[],[],1.0
625,10665,TotalTrafficHOU,Accident. right shoulder blocked in #SeSide on S Sam Houston Tollway EB at Telephone Rd #traffic http://bit.ly/17hsIjn,2020-08-28 18:35:43+00:00,0,0,,#SeSide #traffic,accident. right shoulder blocked in #seside on s sam houston tollway eb at telephone rd #traffic http://bit.ly/17hsijn,['telephone rd'],[],[],[],1.0
626,10668,TotalTrafficHOU,Accident. three left lanes blocked in #Midtown on US-69 Eastex Fwy Inbound at Tuam St #traffic http://bit.ly/17hsIjn,2020-08-28 18:20:43+00:00,0,0,,#Midtown #traffic,accident. three left lanes blocked in #midtown on us-69 eastex fwy inbound at tuam st #traffic http://bit.ly/17hsijn,['tuam st'],['us-69'],[],[],1.0
627,10676,TotalTrafficHOU,"Accident, right lane blocked in #Harris on BELTWAY 8-EAST WB at Wallisville Rd #traffic http://bit.ly/17hsIjn",2020-08-28 17:50:44+00:00,0,0,,#Harris #traffic,"accident, right lane blocked in #harris on beltway 8-east wb at wallisville rd #traffic http://bit.ly/17hsijn","['right lane', 'wallisville rd']",[],[],[],1.0
628,10677,TotalTrafficHOU,Accident affects the entrance ramp. in #Harris on BELTWAY 8-EAST WB at Wallisville Rd #traffic http://bit.ly/17hsIjn,2020-08-28 17:50:44+00:00,0,0,,#Harris #traffic,accident affects the entrance ramp. in #harris on beltway 8-east wb at wallisville rd #traffic http://bit.ly/17hsijn,['wallisville rd'],[],[],[],1.0
632,10694,TotalTrafficBTR,Accident cleared in #Ascension on I 10 WB after LA-73/Old Jefferson Hwy/Prairieville/Geismar/Exit 173 #traffic http://bit.ly/12oyfoo,2020-08-28 17:10:43+00:00,0,0,,#Ascension #traffic,accident cleared in #ascension on i 10 wb after la-73/old jefferson hwy/prairieville/geismar/exit 173 #traffic http://bit.ly/12oyfoo,['jefferson hwy'],[],['exit 173'],[],1.0
635,10699,TotalTrafficBTR,Accident cleared in #Lafayette on I 10 WB at Louisiana Ave/Exit 104 #traffic http://bit.ly/12oyfoo,2020-08-28 16:20:43+00:00,0,0,,#Lafayette #traffic,accident cleared in #lafayette on i 10 wb at louisiana ave/exit 104 #traffic http://bit.ly/12oyfoo,['louisiana ave'],[],['exit 104'],[],1.0
636,10700,TotalTrafficBTR,Accident in #Livingston on I-12 WB before Hwy 63 /Frost Rd/Exit 22 #traffic http://bit.ly/12oyfoo,2020-08-28 16:15:43+00:00,0,0,,#Livingston #traffic,accident in #livingston on i-12 wb before hwy 63 /frost rd/exit 22 #traffic http://bit.ly/12oyfoo,[],"['i-12', 'hwy 63']",['exit 22'],[],1.0
637,10701,TotalTrafficHOU,Stalled vehicle affects the connecting ramp to hwy 288. in #SouthSide on S. Lp 610 EB at Hwy 288 #traffic http://bit.ly/17hsIjn,2020-08-28 16:10:43+00:00,0,0,,#SouthSide #traffic,stalled vehicle affects the connecting ramp to hwy 288. in #southside on s. lp 610 eb at hwy 288 #traffic http://bit.ly/17hsijn,[],"['hwy 288', 'hwy 288']",[],[],1.0
638,10703,TotalTrafficHOU,"Accident. two right lanes blocked in #Webster on I-45 Gulf Outbound before FM 2351, stop and go traffic back to Dixie Farm Rd. #traffic http://bit.ly/17hsIjn",2020-08-28 16:05:43+00:00,0,0,,#Webster #traffic,"accident. two right lanes blocked in #webster on i-45 gulf outbound before fm 2351, stop and go traffic back to dixie farm rd. #traffic http://bit.ly/17hsijn",['farm rd'],['i-45'],[],[],1.0
639,10705,TotalTrafficBTR,Accident in #Ascension on I 10 WB after LA-73/Old Jefferson Hwy/Prairieville/Geismar/Exit 173 #traffic http://bit.ly/12oyfoo,2020-08-28 16:00:44+00:00,0,0,,#Ascension #traffic,accident in #ascension on i 10 wb after la-73/old jefferson hwy/prairieville/geismar/exit 173 #traffic http://bit.ly/12oyfoo,['jefferson hwy'],[],['exit 173'],[],1.0
640,10707,TotalTrafficBTR,"Accident, left lane blocked in #Lafayette on I 10 WB at Louisiana Ave/Exit 104 #traffic http://bit.ly/12oyfoo",2020-08-28 15:45:44+00:00,0,0,,#Lafayette #traffic,"accident, left lane blocked in #lafayette on i 10 wb at louisiana ave/exit 104 #traffic http://bit.ly/12oyfoo",['louisiana ave'],[],['exit 104'],[],1.0
641,10709,TotalTrafficBTR,Accident cleared in #Livingston on I-12 WB at Hwy 63 /Frost Rd/Exit 22 #traffic http://bit.ly/12oyfoo,2020-08-28 15:45:43+00:00,0,0,,#Livingston #traffic,accident cleared in #livingston on i-12 wb at hwy 63 /frost rd/exit 22 #traffic http://bit.ly/12oyfoo,[],"['i-12', 'hwy 63']",['exit 22'],[],1.0
642,10711,TotalTrafficHOU,"Accident. two right lanes blocked in #WestSide on I-10 Katy Inbound at Hwy 6, stop and go traffic back to Greenhouse #traffic http://bit.ly/17hsIjn",2020-08-28 15:15:43+00:00,0,0,,#WestSide #traffic,"accident. two right lanes blocked in #westside on i-10 katy inbound at hwy 6, stop and go traffic back to greenhouse #traffic http://bit.ly/17hsijn",[],"['i-10', 'hwy 6']",[],[],1.0
643,10715,TotalTrafficBTR,"Accident, shoulder blocked in #EastBatonRougeParish on I 10 WB at Highland Rd/LA-42/Exit 166 #traffic http://bit.ly/12oyfoo",2020-08-28 14:55:43+00:00,0,0,,#EastBatonRougeParish #traffic,"accident, shoulder blocked in #eastbatonrougeparish on i 10 wb at highland rd/la-42/exit 166 #traffic http://bit.ly/12oyfoo",['highland rd'],[],['exit 166'],[],1.0
644,10716,TotalTrafficHOU,Stalled vehicle affects the exit ramp. in #NeSide on N. Lp 610 WB at Wallisville Rd. #traffic http://bit.ly/17hsIjn,2020-08-28 14:55:43+00:00,0,0,,#NeSide #traffic,stalled vehicle affects the exit ramp. in #neside on n. lp 610 wb at wallisville rd. #traffic http://bit.ly/17hsijn,['wallisville rd'],[],[],[],1.0
645,10718,TotalTrafficHOU,"Disabled vehicle. right shoulder blocked in #SwSide on I-69 SW Inbound at The 610 W Lp, stop and go traffic back to Fountain View #traffic http://bit.ly/17hsIjn",2020-08-28 14:45:43+00:00,0,0,,#SwSide #traffic,"disabled vehicle. right shoulder blocked in #swside on i-69 sw inbound at the 610 w lp, stop and go traffic back to fountain view #traffic http://bit.ly/17hsijn",[],['i-69'],[],[],1.0
648,10722,TotalTrafficAUS,"Accident cleared in #Austin on TX-71 WB at Bee Caves Rd (FM 2244), slow traffic back to SW Pkwy #ATXtraffic http://bit.ly/10BGKax",2020-08-28 14:40:43+00:00,0,0,,#Austin #ATXtraffic,"accident cleared in #austin on tx-71 wb at bee caves rd (fm 2244), slow traffic back to sw pkwy #atxtraffic http://bit.ly/10bgkax","['caves rd', 'sw pkwy']",[],[],[],1.0
649,10723,TotalTrafficHOU,Stalled vehicle affects the hov lane. in #Harris on I-45 N Hov Outbound at W Rd #traffic http://bit.ly/17hsIjn,2020-08-28 14:40:43+00:00,0,0,,#Harris #traffic,stalled vehicle affects the hov lane. in #harris on i-45 n hov outbound at w rd #traffic http://bit.ly/17hsijn,"['hov lane', 'w rd']",['i-45'],[],[],1.0
650,10724,TotalTrafficHOU,Stalled vehicle affects the connecting ramp to w. loop 610 in #NwSide on US-290 NW EB at The W Lp #traffic http://bit.ly/17hsIjn,2020-08-28 14:30:43+00:00,0,0,,#NwSide #traffic,stalled vehicle affects the connecting ramp to w. loop 610 in #nwside on us-290 nw eb at the w lp #traffic http://bit.ly/17hsijn,[],['us-290'],[],[],1.0
651,10725,TotalTrafficHOU,"Accident, center lane blocked in #NorthSide on N SAM HOUSTON TOLLWAY EB at Ella Blvd #traffic http://bit.ly/17hsIjn",2020-08-28 14:20:43+00:00,0,0,,#NorthSide #traffic,"accident, center lane blocked in #northside on n sam houston tollway eb at ella blvd #traffic http://bit.ly/17hsijn","['center lane', 'ella blvd']",[],[],[],1.0
652,10727,TotalTrafficHOU,"Accident. two right lanes blocked in #WestSide on I-10 Katy Inbound at Hwy 6, stopped traffic back to Greenhouse #traffic http://bit.ly/17hsIjn",2020-08-28 14:15:43+00:00,0,0,,#WestSide #traffic,"accident. two right lanes blocked in #westside on i-10 katy inbound at hwy 6, stopped traffic back to greenhouse #traffic http://bit.ly/17hsijn",[],"['i-10', 'hwy 6']",[],[],1.0
653,10729,TotalTrafficHOU,"Accident. two right lanes blocked in #WestSide on I-10 Katy Inbound at Hwy 6, stopped traffic back to Fry Rd. #traffic http://bit.ly/17hsIjn",2020-08-28 14:10:43+00:00,0,0,,#WestSide #traffic,"accident. two right lanes blocked in #westside on i-10 katy inbound at hwy 6, stopped traffic back to fry rd. #traffic http://bit.ly/17hsijn",['fry rd'],"['i-10', 'hwy 6']",[],[],1.0
654,10730,TotalTrafficHOU,Stalled vehicle. hov lane blocked. in #Harris on I-45 Gulf Hov Inbound at Scott St/Exit 45 #traffic http://bit.ly/17hsIjn,2020-08-28 14:10:43+00:00,0,0,,#Harris #traffic,stalled vehicle. hov lane blocked. in #harris on i-45 gulf hov inbound at scott st/exit 45 #traffic http://bit.ly/17hsijn,"['hov lane', 'scott st']",['i-45'],['exit 45'],[],1.0
655,10733,TotalTrafficAUS,"Accident, left lane blocked in #Austin on TX-71 WB at Bee Caves Rd (FM 2244), stopped traffic back to SW Pkwy #ATXtraffic http://bit.ly/10BGKax",2020-08-28 14:05:43+00:00,0,0,,#Austin #ATXtraffic,"accident, left lane blocked in #austin on tx-71 wb at bee caves rd (fm 2244), stopped traffic back to sw pkwy #atxtraffic http://bit.ly/10bgkax","['caves rd', 'sw pkwy']",[],[],[],1.0
656,10736,TotalTrafficHOU,"Disabled vehicle, right lane blocked in #WestSide on W SAM HOUSTON TOLLWAY NB at The Briar Forest Toll Plz #traffic http://bit.ly/17hsIjn",2020-08-28 14:00:43+00:00,0,0,,#WestSide #traffic,"disabled vehicle, right lane blocked in #westside on w sam houston tollway nb at the briar forest toll plz #traffic http://bit.ly/17hsijn",['right lane'],[],[],[],1.0
657,10738,TotalTrafficHOU,"Disabled vehicle, right lane blocked in #SouthSide on S. Lp 610 EB after Kirby #traffic http://bit.ly/17hsIjn",2020-08-28 13:55:44+00:00,0,0,,#SouthSide #traffic,"disabled vehicle, right lane blocked in #southside on s. lp 610 eb after kirby #traffic http://bit.ly/17hsijn",['right lane'],[],[],[],1.0
658,10740,TotalTrafficHOU,Stalled vehicle affects the exit ramp. in #WestSide on I-10 Katy Outbound at Kirkwood #traffic http://bit.ly/17hsIjn,2020-08-28 13:55:43+00:00,0,0,,#WestSide #traffic,stalled vehicle affects the exit ramp. in #westside on i-10 katy outbound at kirkwood #traffic http://bit.ly/17hsijn,[],['i-10'],[],[],1.0
659,10742,TotalTrafficBTR,Accident with injury in #BatonRouge on Airline Hwy at St Gerard Ave #traffic http://bit.ly/12oyfoo,2020-08-28 13:25:43+00:00,0,0,,#BatonRouge #traffic,accident with injury in #batonrouge on airline hwy at st gerard ave #traffic http://bit.ly/12oyfoo,"['airline hwy', 'gerard ave']",[],[],[],1.0
660,10743,TotalTrafficHOU,"Accident. two right lanes blocked in #WestSide on I-10 Inbound at Hwy 6, stop and go traffic back to Greenhouse #traffic http://bit.ly/17hsIjn",2020-08-28 12:50:43+00:00,0,0,,#WestSide #traffic,"accident. two right lanes blocked in #westside on i-10 inbound at hwy 6, stop and go traffic back to greenhouse #traffic http://bit.ly/17hsijn",[],"['i-10', 'hwy 6']",[],[],1.0
661,10746,TotalTrafficHOU,"Accident. two right lanes blocked in #WestSide on I-10 Katy Inbound at Hwy 6, stop and go traffic back to Barker Cypress #traffic http://bit.ly/17hsIjn",2020-08-28 12:25:43+00:00,0,0,,#WestSide #traffic,"accident. two right lanes blocked in #westside on i-10 katy inbound at hwy 6, stop and go traffic back to barker cypress #traffic http://bit.ly/17hsijn",[],"['i-10', 'hwy 6']",[],[],1.0
662,10749,TotalTrafficHOU,"Accident. two right lanes blocked in #WestSide on I-10 Inbound at Hwy 6, stopped traffic back to Barker Cypress #traffic http://bit.ly/17hsIjn",2020-08-28 12:15:43+00:00,0,0,,#WestSide #traffic,"accident. two right lanes blocked in #westside on i-10 inbound at hwy 6, stopped traffic back to barker cypress #traffic http://bit.ly/17hsijn",[],"['i-10', 'hwy 6']",[],[],1.0
663,10752,TotalTrafficHOU,"Accident. two right lanes blocked in #WestSide on I-10 Katy Inbound at Hwy 6, stop and go traffic back to Greenhouse #traffic http://bit.ly/17hsIjn",2020-08-28 11:55:43+00:00,0,0,,#WestSide #traffic,"accident. two right lanes blocked in #westside on i-10 katy inbound at hwy 6, stop and go traffic back to greenhouse #traffic http://bit.ly/17hsijn",[],"['i-10', 'hwy 6']",[],[],1.0
664,10754,TotalTrafficHOU,"Accident, right lane blocked in #NorthSide on I-45 N Inbound at Airtex #traffic http://bit.ly/17hsIjn",2020-08-28 11:45:44+00:00,0,0,,#NorthSide #traffic,"accident, right lane blocked in #northside on i-45 n inbound at airtex #traffic http://bit.ly/17hsijn",['right lane'],['i-45'],[],[],1.0
665,10757,TotalTrafficHOU,"Accident. two right lanes blocked in #WestSide on I-10 Katy Inbound at Hwy 6, stopped traffic back to Barker Cypress #traffic http://bit.ly/17hsIjn",2020-08-28 11:40:43+00:00,0,0,,#WestSide #traffic,"accident. two right lanes blocked in #westside on i-10 katy inbound at hwy 6, stopped traffic back to barker cypress #traffic http://bit.ly/17hsijn",[],"['i-10', 'hwy 6']",[],[],1.0
666,10759,TotalTrafficHOU,"Disabled vehicle, center lane blocked in #WestSide on I-10 Katy Inbound at Hwy 6, stop and go traffic back to Park Ten #traffic http://bit.ly/17hsIjn",2020-08-28 11:20:43+00:00,0,0,,#WestSide #traffic,"disabled vehicle, center lane blocked in #westside on i-10 katy inbound at hwy 6, stop and go traffic back to park ten #traffic http://bit.ly/17hsijn",['center lane'],"['i-10', 'hwy 6']",[],[],1.0
667,10761,TotalTrafficAUS,"Accident, left lane blocked in #Austin on FM 973 SB at Harold Green Rd #ATXtraffic http://bit.ly/10BGKax",2020-08-28 11:15:43+00:00,0,0,,#Austin #ATXtraffic,"accident, left lane blocked in #austin on fm 973 sb at harold green rd #atxtraffic http://bit.ly/10bgkax",['green rd'],[],[],[],1.0
668,10762,TotalTrafficHOU,"Disabled vehicle, center lane blocked in #WestSide on I-10 Inbound after Hwy 6, stop and go traffic back to Park Ten #traffic http://bit.ly/17hsIjn",2020-08-28 11:15:43+00:00,0,0,,#WestSide #traffic,"disabled vehicle, center lane blocked in #westside on i-10 inbound after hwy 6, stop and go traffic back to park ten #traffic http://bit.ly/17hsijn",['center lane'],"['i-10', 'hwy 6']",[],[],1.0
671,10773,TotalTrafficHOU,"A multi-car crash and car fire has all mainline lanes blocked. in #NeSide on N Sam Houston Pkwy EB before John F Kennedy Blvd, stop and go traffic back to Aldine Westfeild #traffic http://bit.ly/17hsIjn",2020-08-28 09:15:44+00:00,0,0,,#NeSide #traffic,"a multi-car crash and car fire has all mainline lanes blocked. in #neside on n sam houston pkwy eb before john f kennedy blvd, stop and go traffic back to aldine westfeild #traffic http://bit.ly/17hsijn","['houston pkwy', 'kennedy blvd']",[],[],[],1.0
673,10804,TotalTrafficAUS,Disabled vehicle. left shoulder blocked in #Travis on I-35 Frontage SB at E 51st St #ATXtraffic http://bit.ly/10BGKax,2020-08-28 00:10:43+00:00,0,0,,#Travis #ATXtraffic,disabled vehicle. left shoulder blocked in #travis on i-35 frontage sb at e 51st st #atxtraffic http://bit.ly/10bgkax,['51st st'],['i-35'],[],[],1.0
674,10806,TotalTrafficHOU,"Disabled vehicle, right lane blocked in #Heights on I-10 Katy Fwy Outbound after Studemont #traffic http://bit.ly/17hsIjn",2020-08-27 23:55:44+00:00,0,1,,#Heights #traffic,"disabled vehicle, right lane blocked in #heights on i-10 katy fwy outbound after studemont #traffic http://bit.ly/17hsijn",['right lane'],['i-10'],[],[],1.0
675,10808,TotalTrafficAUS,"Disabled vehicle, right lane blocked in #SanMarcos on I-35 NB at Aquarena Springs Dr/Exit 206, stop and go traffic back to Hwy 80/Exit 205 #ATXtraffic http://bit.ly/10BGKax",2020-08-27 23:40:43+00:00,0,0,,#SanMarcos #ATXtraffic,"disabled vehicle, right lane blocked in #sanmarcos on i-35 nb at aquarena springs dr/exit 206, stop and go traffic back to hwy 80/exit 205 #atxtraffic http://bit.ly/10bgkax",['right lane'],"['i-35', 'hwy 80']","['exit 206', 'exit 205']",[],1.0
676,10810,TotalTrafficAUS,Disabled vehicle. right shoulder blocked in #Travis on I 35 SB at Parmer Ln/Exit 245 #ATXtraffic http://bit.ly/10BGKax,2020-08-27 23:35:43+00:00,0,0,,#Travis #ATXtraffic,disabled vehicle. right shoulder blocked in #travis on i 35 sb at parmer ln/exit 245 #atxtraffic http://bit.ly/10bgkax,[],[],['exit 245'],[],1.0
677,10812,TotalTrafficHOU,"Accident. three right lanes blocked in #EastSide on 610 NB at The Port Of Houston, stop and go traffic back to Hwy 225 #traffic http://bit.ly/17hsIjn",2020-08-27 23:30:43+00:00,0,0,,#EastSide #traffic,"accident. three right lanes blocked in #eastside on 610 nb at the port of houston, stop and go traffic back to hwy 225 #traffic http://bit.ly/17hsijn",[],['hwy 225'],[],[],1.0
678,10817,TotalTrafficAUS,"Disabled vehicle cleared in #Travis on I-35 NB at Oltorf St/Exit 232, slow traffic back to Ben White #ATXtraffic http://bit.ly/10BGKax",2020-08-27 23:20:43+00:00,0,0,,#Travis #ATXtraffic,"disabled vehicle cleared in #travis on i-35 nb at oltorf st/exit 232, slow traffic back to ben white #atxtraffic http://bit.ly/10bgkax",['oltorf st'],['i-35'],['exit 232'],[],1.0
679,10820,TotalTrafficHOU,Accident cleared in #NorthSide on N Sam Houston Pkwy WB at Veterans Memorial Toll Plz #traffic http://bit.ly/17hsIjn,2020-08-27 22:55:43+00:00,0,0,,#NorthSide #traffic,accident cleared in #northside on n sam houston pkwy wb at veterans memorial toll plz #traffic http://bit.ly/17hsijn,['houston pkwy'],[],[],[],1.0
680,10821,TotalTrafficHOU,"Disabled vehicle, right lane blocked in #EastSide on The E Sam Houston Pkwy NB after The Ship Channel Brg Plz #traffic http://bit.ly/17hsIjn",2020-08-27 22:50:43+00:00,0,0,,#EastSide #traffic,"disabled vehicle, right lane blocked in #eastside on the e sam houston pkwy nb after the ship channel brg plz #traffic http://bit.ly/17hsijn","['right lane', 'houston pkwy']",[],[],[],1.0
681,10823,iembot_shv,"At 8:50 AM CDT, 6 WNW Columbia [Caldwell Co, LA] LAW ENFORCEMENT reports TROPICAL STORM. MULTIPLE TREES AND POWER LINES DOWN ON HIGHWAY 4 WEST BETWEEN WILES ROAD AND MT. PLEASANT RD. https://mesonet.agron.iastate.edu/lsr/#SHV/202008271350/202008271350",2020-08-27 22:50:26+00:00,0,0,,,"at 8:50 am cdt, 6 wnw columbia [caldwell co, la] law enforcement reports tropical storm. multiple trees and power lines down on highway 4 west between wiles road and mt. pleasant rd. https://mesonet.agron.iastate.edu/lsr/#shv/202008271350/202008271350","['wiles road', 'pleasant rd']",['highway 4'],[],[],1.0
682,10824,TotalTrafficHOU,Accident. two right lanes blocked in #NorthSide on N Sam Houston Pkwy WB at Veterans Memorial Toll Plz #traffic http://bit.ly/17hsIjn,2020-08-27 22:45:43+00:00,0,0,,#NorthSide #traffic,accident. two right lanes blocked in #northside on n sam houston pkwy wb at veterans memorial toll plz #traffic http://bit.ly/17hsijn,['houston pkwy'],[],[],[],1.0
683,10826,TotalTrafficAUS,"Accident cleared in #Travis on I-35 SB at Oltorf St/Exit 232, stopped traffic back to Woodland Ave #ATXtraffic http://bit.ly/10BGKax",2020-08-27 22:40:44+00:00,0,0,,#Travis #ATXtraffic,"accident cleared in #travis on i-35 sb at oltorf st/exit 232, stopped traffic back to woodland ave #atxtraffic http://bit.ly/10bgkax","['oltorf st', 'woodland ave']",['i-35'],['exit 232'],[],1.0
684,10829,TotalTrafficHOU,"Accident cleared in #NorthSide on I-45 N Fwy Outbound at Cypresswood, stop and go traffic back to Paramatta/Hollow Tree Ln #traffic http://bit.ly/17hsIjn",2020-08-27 22:15:43+00:00,0,0,,#NorthSide #traffic,"accident cleared in #northside on i-45 n fwy outbound at cypresswood, stop and go traffic back to paramatta/hollow tree ln #traffic http://bit.ly/17hsijn",[],['i-45'],[],[],1.0
685,10830,TotalTrafficAUS,"Disabled vehicle cleared in #Williamson on I 35 NB at Westinghouse Rd/Exit 257, slow traffic back to FM 1431/Chandler Rd/Exit 256 #ATXtraffic http://bit.ly/10BGKax",2020-08-27 22:15:43+00:00,0,1,,#Williamson #ATXtraffic,"disabled vehicle cleared in #williamson on i 35 nb at westinghouse rd/exit 257, slow traffic back to fm 1431/chandler rd/exit 256 #atxtraffic http://bit.ly/10bgkax","['westinghouse rd', 'chandler rd']",[],"['exit 257', 'exit 256']",[],1.0
686,10835,TotalTrafficBTR,Accident cleared in #EastBatonRougeParish on I-110 NB at I 10/Exit 1J #traffic http://bit.ly/12oyfoo,2020-08-27 21:50:43+00:00,0,0,,#EastBatonRougeParish #traffic,accident cleared in #eastbatonrougeparish on i-110 nb at i 10/exit 1j #traffic http://bit.ly/12oyfoo,[],['i-110'],[],[],1.0
688,10837,TotalTrafficAUS,"Disabled vehicle cleared in #Travis on Mopac SB before 2222 (Northland Dr), slow traffic back to Far W Blvd #ATXtraffic http://bit.ly/10BGKax",2020-08-27 21:45:43+00:00,0,0,,#Travis #ATXtraffic,"disabled vehicle cleared in #travis on mopac sb before 2222 (northland dr), slow traffic back to far w blvd #atxtraffic http://bit.ly/10bgkax",['w blvd'],[],[],[],1.0
689,10838,TotalTrafficAUS,"Accident, center lane blocked in #Travis on I-35 SB at Oltorf St/Exit 232, stopped traffic back to Woodland Ave #ATXtraffic http://bit.ly/10BGKax",2020-08-27 21:45:43+00:00,0,0,,#Travis #ATXtraffic,"accident, center lane blocked in #travis on i-35 sb at oltorf st/exit 232, stopped traffic back to woodland ave #atxtraffic http://bit.ly/10bgkax","['center lane', 'oltorf st', 'woodland ave']",['i-35'],['exit 232'],[],1.0
690,10841,TotalTrafficAUS,"Disabled vehicle, left lane blocked in #Travis on I-35 NB at Oltorf St/Exit 232, stop and go traffic back to Ben White #ATXtraffic http://bit.ly/10BGKax",2020-08-27 21:40:43+00:00,0,0,,#Travis #ATXtraffic,"disabled vehicle, left lane blocked in #travis on i-35 nb at oltorf st/exit 232, stop and go traffic back to ben white #atxtraffic http://bit.ly/10bgkax",['oltorf st'],['i-35'],['exit 232'],[],1.0
691,10843,TotalTrafficHOU,Accident cleared in #SouthSide on I-610 S Lp WB after Almeda / FM 521 #traffic http://bit.ly/17hsIjn,2020-08-27 21:35:44+00:00,0,0,,#SouthSide #traffic,accident cleared in #southside on i-610 s lp wb after almeda / fm 521 #traffic http://bit.ly/17hsijn,[],['i-610'],[],[],1.0
692,10844,TotalTrafficHOU,"Accident. two right lanes blocked in #NorthSide on I-45 N Fwy Outbound at Cypresswood, stop and go traffic back to Paramatta/Hollow Tree Ln #traffic http://bit.ly/17hsIjn",2020-08-27 21:35:43+00:00,0,0,,#NorthSide #traffic,"accident. two right lanes blocked in #northside on i-45 n fwy outbound at cypresswood, stop and go traffic back to paramatta/hollow tree ln #traffic http://bit.ly/17hsijn",[],['i-45'],[],[],1.0
693,10846,TotalTrafficAUS,"Disabled vehicle. right shoulder blocked in #Williamson on I 35 NB at Westinghouse Rd/Exit 257, slow traffic back to FM 1431/Chandler Rd/Exit 256 #ATXtraffic http://bit.ly/10BGKax",2020-08-27 21:30:43+00:00,0,0,,#Williamson #ATXtraffic,"disabled vehicle. right shoulder blocked in #williamson on i 35 nb at westinghouse rd/exit 257, slow traffic back to fm 1431/chandler rd/exit 256 #atxtraffic http://bit.ly/10bgkax","['westinghouse rd', 'chandler rd']",[],"['exit 257', 'exit 256']",[],1.0
694,10847,TotalTrafficBTR,"Accident, two lanes blocked in #EastBatonRougeParish on I-110 NB at I 10/Exit 1J #traffic http://bit.ly/12oyfoo",2020-08-27 21:30:43+00:00,0,0,,#EastBatonRougeParish #traffic,"accident, two lanes blocked in #eastbatonrougeparish on i-110 nb at i 10/exit 1j #traffic http://bit.ly/12oyfoo",[],['i-110'],[],[],1.0
697,10853,TotalTrafficAUS,"Disabled vehicle. right shoulder blocked in #Travis on Mopac SB before 2222 (Northland Dr), slow traffic back to Far W Blvd #ATXtraffic http://bit.ly/10BGKax",2020-08-27 21:15:45+00:00,0,0,,#Travis #ATXtraffic,"disabled vehicle. right shoulder blocked in #travis on mopac sb before 2222 (northland dr), slow traffic back to far w blvd #atxtraffic http://bit.ly/10bgkax",['w blvd'],[],[],[],1.0
698,10855,TotalTrafficAUS,"Accident cleared from exit ramp in #Austin on TX-71 EB at I H 35, slow traffic back to Congress Ave #ATXtraffic http://bit.ly/10BGKax",2020-08-27 21:10:44+00:00,0,0,,#Austin #ATXtraffic,"accident cleared from exit ramp in #austin on tx-71 eb at i h 35, slow traffic back to congress ave #atxtraffic http://bit.ly/10bgkax",['congress ave'],[],[],[],1.0
699,10856,TotalTrafficHOU,Accident cleared in #NorthSide on I-45 N Fwy Outbound after Richey #traffic http://bit.ly/17hsIjn,2020-08-27 21:00:44+00:00,0,0,,#NorthSide #traffic,accident cleared in #northside on i-45 n fwy outbound after richey #traffic http://bit.ly/17hsijn,[],['i-45'],[],[],1.0
